subj,prop,obj,question,answers_list,s_pop,generated,model_knew
J. Da Silva,occupation,cricket umpire,What is J. Da Silva's occupation?,"['cricket umpire', 'umpire']",92,I don't have enough information to determine J. Da Silva's occupation. Can you provide more context or details about J. Da Silva?,False
Carsten Carlsen,occupation,pianist,What is Carsten Carlsen's occupation?,"['composer', 'pianist']",93,I do not have information on Carsten Carlsen's occupation.,False
Fritz Goos,occupation,astronomer,What is Fritz Goos's occupation?,"['astronomer', 'physicist']",50,I do not have information on Fritz Goos's occupation.,False
"Charles A. Gillespie, Jr.",occupation,diplomat,"What is Charles A. Gillespie, Jr.'s occupation?",['diplomat'],107,"I do not have information on Charles A. Gillespie, Jr.",False
Alexander Gadolin,occupation,politician,What is Alexander Gadolin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",41,I am unable to verify Alexander Gadolin's occupation.,False
Levi P. Powers,occupation,politician,What is Levi P. Powers's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",34,I do not have information on Levi P. Powers.,False
John Strange,occupation,diplomat,What is John Strange's occupation?,['diplomat'],72,I am unable to verify John Strange's occupation.,False
Meg McCall,occupation,politician,What is Meg McCall's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",218,I am unable to verify Meg McCall's occupation.,False
Walter de la Pole,occupation,politician,What is Walter de la Pole's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",91,I am unable to verify Walter de la Pole's occupation.,True
Todd Verow,occupation,actor,What is Todd Verow's occupation?,"['cinematographer', 'director of photography', 'DOP', 'film director', 'movie director', 'director', 'motion picture director', 'actor', 'actress', 'actors', 'actresses']",383,I do not have information on Todd Verow's occupation.,False
Kyaw Swe,occupation,film director,What is Kyaw Swe's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'actor', 'actress', 'actors', 'actresses']",97,I do not have information on Kyaw Swe's occupation.,False
Guillaume du Tillot,occupation,politician,What is Guillaume du Tillot's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",236,I do not have information on Guillaume du Tillot.,False
Edwin H. Knopf,occupation,film producer,What is Edwin H. Knopf's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'film producer', 'movie producer', 'producer']",276,I do not have information on Edwin H. Knopf.,False
Naathan Phan,occupation,actor,What is Naathan Phan's occupation?,"['actor', 'actress', 'actors', 'actresses']",174,I do not have information on Naathan Phan's occupation.,False
Paul Caillaud,occupation,politician,What is Paul Caillaud's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",35,I do not have information on Paul Caillaud's occupation.,False
Rusty Willoughby,occupation,songwriter,What is Rusty Willoughby's occupation?,"['songwriter', 'song writer']",199,I am unable to verify Rusty Willoughby's occupation.,False
Matthew Underwood,occupation,actor,What is Matthew Underwood's occupation?,"['actor', 'actress', 'actors', 'actresses']",161,Matthew Underwood is an American actor.,True
George Washington Owen,occupation,politician,What is George Washington Owen's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",144,I do not have information on George Washington Owen.,False
Ebenezer Webster,occupation,politician,What is Ebenezer Webster's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",165,I am unable to verify Ebenezer Webster's occupation.,False
Bridie O'Flaherty,occupation,politician,What is Bridie O'Flaherty's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",65,I am unable to verify what Bridie O'Flaherty's occupation is.,False
Ivan Kulichenko,occupation,politician,What is Ivan Kulichenko's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",57,I do not have information on Ivan Kulichenko.,False
Christopher Beazley,occupation,politician,What is Christopher Beazley's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",155,I do not have information on Christopher Beazley's occupation.,False
Olivier Alary,occupation,composer,What is Olivier Alary's occupation?,['composer'],329,I do not have information on Olivier Alary's occupation.,False
Giuseppe Demachi,occupation,composer,What is Giuseppe Demachi's occupation?,['composer'],77,I do not have information on Giuseppe Demachi.,False
Affonso Beato,occupation,cinematographer,What is Affonso Beato's occupation?,"['cinematographer', 'director of photography', 'DOP']",346,I do not have information on Affonso Beato.,False
Atsushi Kaneko,occupation,mangaka,What is Atsushi Kaneko's occupation?,"['mangaka', 'manga artist']",387,I do not have information on Atsushi Kaneko's occupation.,False
Richard Faith,occupation,composer,What is Richard Faith's occupation?,"['composer', 'pianist']",173,I am unable to verify what Richard Faith's occupation is.,False
E. David Redwine,occupation,politician,What is E. David Redwine's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",57,I do not have information on E. David Redwine's occupation.,False
Kyriakos Mavronikolas,occupation,politician,What is Kyriakos Mavronikolas's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",57,I do not have information on Kyriakos Mavronikolas.,False
"John Blake, Jr.",occupation,politician,"What is John Blake, Jr.'s occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",95,"I am unable to verify John Blake, Jr.'s occupation.",False
Mami Matsui,occupation,seiyū,What is Mami Matsui's occupation?,"['seiyū', 'Japanese voice actress', 'seiyuu', 'seiyu', 'Japanese voice actor']",67,I do not have information on Mami Matsui's occupation.,False
Marie-France Mignal,occupation,actor,What is Marie-France Mignal's occupation?,"['actor', 'actress', 'actors', 'actresses']",83,I do not have information on Marie-France Mignal's occupation.,False
P. J. Moloney,occupation,politician,What is P. J. Moloney's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",184,I do not have information on P. J. Moloney's occupation.,False
Andreas Rüdiger,occupation,philosopher,What is Andreas Rüdiger's occupation?,['philosopher'],66,I do not have information on Andreas Rüdiger.,False
Robert Lewis,occupation,politician,What is Robert Lewis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",64,I don't have enough information to determine which Robert Lewis you are referring to. There are several notable individuals with the name Robert Lewis. Could you please provide more context or details about the Robert Lewis you are asking about?,False
Arthur W. Rice,occupation,architect,What is Arthur W. Rice's occupation?,['architect'],111,I do not have information on Arthur W. Rice.,False
Richard Franck,occupation,composer,What is Richard Franck's occupation?,"['composer', 'pianist']",139,I do not have information on a person named Richard Franck.,False
Guillem Ramon de Gironella,occupation,troubadour,What is Guillem Ramon de Gironella's occupation?,['troubadour'],63,I do not have information on Guillem Ramon de Gironella.,False
Dima Grigoriev,occupation,mathematician,What is Dima Grigoriev's occupation?,['mathematician'],137,I do not have information on Dima Grigoriev's occupation.,False
Grace Frankland,occupation,microbiologist,What is Grace Frankland's occupation?,['microbiologist'],153,I am unable to verify Grace Frankland's occupation.,False
Hermann Ahlwardt,occupation,journalist,What is Hermann Ahlwardt's occupation?,"['journalist', 'journo', 'journalists']",284,Hermann Theodor Hermann Ahlwardt was a German Orientalist and a biblical scholar.,False
Alexandre Bóveda,occupation,politician,What is Alexandre Bóveda's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",169,I do not have information on Alexandre Bóveda.,False
Paddy Mullins,occupation,horse trainer,What is Paddy Mullins's occupation?,"['horse trainer', 'racehorse trainer']",276,I do not have information on Paddy Mullins.,False
Alan Mauritz Swanson,occupation,composer,What is Alan Mauritz Swanson's occupation?,['composer'],55,I do not have information on Alan Mauritz Swanson.,False
Harvey William Burk,occupation,politician,What is Harvey William Burk's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",52,I am unable to verify what Harvey William Burk's occupation is.,False
Amin Amidu Sulemana,occupation,diplomat,What is Amin Amidu Sulemana's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",127,I do not have information on Amin Amidu Sulemana's occupation.,False
Jim Boyd,occupation,actor,What is Jim Boyd's occupation?,"['journalist', 'journo', 'journalists', 'actor', 'actress', 'actors', 'actresses']",170,I don't have enough information to determine which Jim Boyd you are referring to. There are several notable individuals with the name Jim Boyd. Could you please provide more context or details about the Jim Boyd you are asking about?,False
Nosrat Karimi,occupation,actor,What is Nosrat Karimi's occupation?,"['actor', 'actress', 'actors', 'actresses']",269,I do not have information on Nosrat Karimi's occupation.,False
Jörg A. Eggers,occupation,screenwriter,What is Jörg A. Eggers's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']",56,I do not have information on Jörg A. Eggers's occupation.,False
Duilio Forte,occupation,architect,What is Duilio Forte's occupation?,['architect'],133,I do not have information on Duilio Forte.,False
Petru Vlah,occupation,politician,What is Petru Vlah's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",45,I do not have information on Petru Vlah.,False
Richard Howland Hunt,occupation,architect,What is Richard Howland Hunt's occupation?,['architect'],320,I do not have information on Richard Howland Hunt.,False
