subj,prop,obj,question,answers_list,s_pop,o_pop
Fidel Antuña Batista,occupation,politician,What is Fidel Antuña Batista's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",56,25692
Şefik Birkiye,occupation,architect,What is Şefik Birkiye's occupation?,['architect'],229,28889
Isobel Pravda,occupation,actor,What is Isobel Pravda's occupation?,"['actor', 'actress', 'actors', 'actresses']",168,81374
"William Phillips, Sr.",occupation,politician,"What is William Phillips, Sr.'s occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",125,25692
Thomas Gifford,occupation,politician,What is Thomas Gifford's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",55,25692
DM Sevilla,occupation,actor,What is DM Sevilla's occupation?,"['actor', 'actress', 'actors', 'actresses']",451,81374
Sardar Muhammad Yousaf Zaman,occupation,politician,What is Sardar Muhammad Yousaf Zaman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",248,25692
Thomas Jefferson Kaye,occupation,singer-songwriter,What is Thomas Jefferson Kaye's occupation?,"['record producer', 'music producer', 'singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']",336,5896
Pietro Marcenaro,occupation,politician,What is Pietro Marcenaro's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",34,25692
William Australia Graham,occupation,politician,What is William Australia Graham's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",50,25692
Gino Coppedè,occupation,architect,What is Gino Coppedè's occupation?,['architect'],344,28889
Richard Myers,occupation,songwriter,What is Richard Myers's occupation?,"['songwriter', 'song writer']",85,25550
Carlo Giustini,occupation,actor,What is Carlo Giustini's occupation?,"['actor', 'actress', 'actors', 'actresses']",264,81374
Shelley Wark-Martyn,occupation,politician,What is Shelley Wark-Martyn's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",106,25692
Frits Castricum,occupation,politician,What is Frits Castricum's occupation?,"['journalist', 'journo', 'journalists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",59,25692
John Bell,occupation,surgeon,What is John Bell's occupation?,"['surgeon', 'surgeons']",312,12671
David Sharp,occupation,physician,What is David Sharp's occupation?,"['physician', 'physicians', 'medical doctor', 'medical practitioner', 'doctor', 'medical doctors']",195,48188
Per Risvik,occupation,politician,What is Per Risvik's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",33,25692
Eleanor Yule,occupation,film director,What is Eleanor Yule's occupation?,"['film director', 'movie director', 'director', 'motion picture director']",103,45772
Agneta Bolme Börjefors,occupation,journalist,What is Agneta Bolme Börjefors's occupation?,"['journalist', 'journo', 'journalists', 'television presenter', 'host', 'hostess', 'TV host', 'television host', 'TV presenter', 'TV anchor', 'television anchor']",109,24952
Larry Sitsky,occupation,pianist,What is Larry Sitsky's occupation?,"['composer', 'pianist']",316,6538
Alan Bjerga,occupation,journalist,What is Alan Bjerga's occupation?,"['journalist', 'journo', 'journalists']",82,24952
Tadhg Dall Ó hUiginn,occupation,poet,What is Tadhg Dall Ó hUiginn's occupation?,"['poet', 'poetess', 'bard']",162,16182
Zoran Rankić,occupation,actor,What is Zoran Rankić's occupation?,"['actor', 'actress', 'actors', 'actresses']",141,81374
Chitra Bahadur K.C.,occupation,politician,What is Chitra Bahadur K.C.'s occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",304,25692
Siegfried Czapski,occupation,physicist,What is Siegfried Czapski's occupation?,['physicist'],264,17531
George Minor,occupation,composer,What is George Minor's occupation?,['composer'],166,28389
Mariángel  Carolina Ruiz Diaz,occupation,model,What is Mariángel  Carolina Ruiz Diaz's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']",446,57327
Michael Shelley,occupation,singer-songwriter,What is Michael Shelley's occupation?,"['singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']",167,5896
Rose Beaudet,occupation,actor,What is Rose Beaudet's occupation?,"['actor', 'actress', 'actors', 'actresses']",88,81374
Jean Gabriel Marie,occupation,composer,What is Jean Gabriel Marie's occupation?,['composer'],72,28389
Sayaka Ichii,occupation,actor,What is Sayaka Ichii's occupation?,"['actor', 'actress', 'actors', 'actresses']",337,81374
George Birnie Esslemont,occupation,politician,What is George Birnie Esslemont's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",75,25692
Shorty Hamilton,occupation,actor,What is Shorty Hamilton's occupation?,"['actor', 'actress', 'actors', 'actresses']",89,81374
Ajay Kumar Parida,occupation,biologist,What is Ajay Kumar Parida's occupation?,"['biologist', 'biologists']",206,10281
A. Lawrence Kocher,occupation,architect,What is A. Lawrence Kocher's occupation?,['architect'],114,28889
John Andrew Martin,occupation,lawyer,What is John Andrew Martin's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",155,43223
Nandor Balazs,occupation,physicist,What is Nandor Balazs's occupation?,['physicist'],74,17531
Maurice Le Boucher,occupation,composer,What is Maurice Le Boucher's occupation?,"['composer', 'organist', 'organ player']",83,28389
T. P. Poonatchi,occupation,politician,What is T. P. Poonatchi's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",35,25692
Joni Jenkins,occupation,politician,What is Joni Jenkins's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",296,25692
Martin Shapiro,occupation,screenwriter,What is Martin Shapiro's occupation?,"['screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']",112,26544
Gabriel Gonsum Ganaka,occupation,priest,What is Gabriel Gonsum Ganaka's occupation?,"['priest', 'reverend', 'priestess']",309,20534
Max Fechner,occupation,politician,What is Max Fechner's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",197,25692
Augustine Steward,occupation,politician,What is Augustine Steward's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",125,25692
Guy Joseph Bonnet,occupation,major general,What is Guy Joseph Bonnet's occupation?,"['major general', 'major-general', 'MG', 'Maj.Gen.', 'M.Gen.', 'two-star general', 'Major general']",128,17223
Lewis J. Rachmil,occupation,film producer,What is Lewis J. Rachmil's occupation?,"['film producer', 'movie producer', 'producer']",224,58642
René Bégin,occupation,politician,What is René Bégin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",71,25692
Robert Jonckheere,occupation,astronomer,What is Robert Jonckheere's occupation?,['astronomer'],62,12368
Tracy Coogan,occupation,actor,What is Tracy Coogan's occupation?,"['actor', 'actress', 'actors', 'actresses']",118,81374
Arafan Camara,occupation,politician,What is Arafan Camara's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",83,25692
George Lewis,occupation,politician,What is George Lewis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",68,25692
Louis O'Dea,occupation,politician,What is Louis O'Dea's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",52,25692
Guo Gengmao,occupation,politician,What is Guo Gengmao's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",125,25692
Derek Ingram Hill,occupation,priest,What is Derek Ingram Hill's occupation?,"['priest', 'reverend', 'priestess']",54,20534
Jacques Monasch,occupation,politician,What is Jacques Monasch's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",117,25692
Sebaki Devi Das Tatma,occupation,politician,What is Sebaki Devi Das Tatma's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",26,25692
Robert Antoine,occupation,missionary,What is Robert Antoine's occupation?,"['missionary', 'Christian missionary']",130,20559
Howard Fowles,occupation,politician,What is Howard Fowles's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",73,25692
Julia de Asensi,occupation,journalist,What is Julia de Asensi's occupation?,"['journalist', 'journo', 'journalists']",73,24952
Đurđa Ivezić,occupation,actor,What is Đurđa Ivezić's occupation?,"['actor', 'actress', 'actors', 'actresses']",96,81374
Rick Wilson,occupation,farmer,What is Rick Wilson's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",365,24195
"John Campbell, 3rd Earl of Breadalbane and Holland",occupation,diplomat,"What is John Campbell, 3rd Earl of Breadalbane and Holland's occupation?","['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",225,14886
Ya'akov Ahimeir,occupation,journalist,What is Ya'akov Ahimeir's occupation?,"['journalist', 'journo', 'journalists']",131,24952
James Anderson,occupation,physician,What is James Anderson's occupation?,"['physician', 'physicians', 'medical doctor', 'medical practitioner', 'doctor', 'medical doctors']",109,48188
Žarko Petan,occupation,film director,What is Žarko Petan's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']",106,45772
Akimasa Nakamura,occupation,astronomer,What is Akimasa Nakamura's occupation?,['astronomer'],291,12368
Thomas Widdrington,occupation,politician,What is Thomas Widdrington's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",45,25692
Jean-Marie-Victor Viel,occupation,architect,What is Jean-Marie-Victor Viel's occupation?,['architect'],74,28889
Virginia Haviland,occupation,librarian,What is Virginia Haviland's occupation?,"['librarian', 'library staff']",90,11011
Heinrich Hofmann,occupation,composer,What is Heinrich Hofmann's occupation?,"['composer', 'pianist']",261,28389
Frances Josephy,occupation,politician,What is Frances Josephy's occupation?,"['journalist', 'journo', 'journalists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",54,25692
Uri Nakayama,occupation,hairdresser,What is Uri Nakayama's occupation?,"['singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter', 'hairdresser', 'hairstylist', 'hair stylist', 'hair dresser', 'beautician', 'hairdressers']",106,7072
Edwin N. Hubbell,occupation,politician,What is Edwin N. Hubbell's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",182,25692
John Williams Tobey,occupation,architect,What is John Williams Tobey's occupation?,['architect'],89,28889
Ivan III Drašković,occupation,politician,What is Ivan III Drašković's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",151,25692
Michael,occupation,priest,What is Michael's occupation?,"['priest', 'reverend', 'priestess']",140,20534
Jorge Traverso,occupation,journalist,What is Jorge Traverso's occupation?,"['journalist', 'journo', 'journalists']",43,24952
Mariví Bilbao,occupation,actor,What is Mariví Bilbao's occupation?,"['actor', 'actress', 'actors', 'actresses']",428,81374
Harding of Bristol,occupation,magistrate,What is Harding of Bristol's occupation?,['magistrate'],216,15457
Gina Krog,occupation,politician,What is Gina Krog's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",355,25692
Arkady Chernetsky,occupation,politician,What is Arkady Chernetsky's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",147,25692
Shirley Palmer,occupation,actor,What is Shirley Palmer's occupation?,"['actor', 'actress', 'actors', 'actresses']",142,81374
Paolo Pellizzari,occupation,photographer,What is Paolo Pellizzari's occupation?,"['photographer', 'photog', 'photographers']",74,10855
Petr Mlsna,occupation,politician,What is Petr Mlsna's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",78,25692
Neville Ashenheim,occupation,politician,What is Neville Ashenheim's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",126,25692
Nina Varlamova,occupation,politician,What is Nina Varlamova's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",121,25692
Lorena Corona Valdés,occupation,politician,What is Lorena Corona Valdés's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",35,25692
"Sir Thomas Clarges, 3rd Baronet",occupation,politician,"What is Sir Thomas Clarges, 3rd Baronet's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",39,25692
Donald Robert Macgregor,occupation,politician,What is Donald Robert Macgregor's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",29,25692
