subj,prop,obj,question,answers_list
January 1,screenwriter,Manivannan,Who was the screenwriter for January 1?,['Manivannan']
The Wedding,author,Danielle Steel,Who is the author of The Wedding?,"['Danielle Steel', 'Danielle Fernandes Dominique Schülein-Steel', 'Danielle Fernandes Dominique Schuelein-Steel']"
Gold,author,Chris Cleave,Who is the author of Gold?,['Chris Cleave']
Tanya,father,Meddler,Who is the father of Tanya?,['Meddler']
Millennial Rites,author,Craig Hinton,Who is the author of Millennial Rites?,"['Craig Hinton', 'Craig Paul Alexander Hinton']"
The Pianoplayers,author,Anthony Burgess,Who is the author of The Pianoplayers?,"['Anthony Burgess', 'John Anthony Burgess Wilson', 'John Burgess Wilson', 'Joseph Kell']"
Hendrik Gerritsz Pot,place of birth,Haarlem,In what city was Hendrik Gerritsz Pot born?,"['Haarlem', 'Haarlem, North Holland', 'Haerlem']"
The White Line,director,Luigi Zampa,Who was the director of The White Line?,"['Luigi Zampa', 'Zampa']"
Urge,country,Estonia,In what country is Urge?,"['Estonia', 'Republic of Estonia', 'Estland', 'Eesti', 'ee', 'EST', '🇪🇪']"
The Return,screenwriter,Antun Vrdoljak,Who was the screenwriter for The Return?,['Antun Vrdoljak']
Reno,director,John Farrow,Who was the director of Reno?,"['John Farrow', 'John Villiers Farrow']"
Alfred Mombert,occupation,poet,What is Alfred Mombert's occupation?,"['poet', 'poetess', 'bard']"
Mike Shaver,place of birth,Grande Prairie,In what city was Mike Shaver born?,['Grande Prairie']
The Doll,director,Ernst Lubitsch,Who was the director of The Doll?,['Ernst Lubitsch']
The Other Half,director,King Vidor,Who was the director of The Other Half?,"['King Vidor', 'King Wallis Vidor']"
Mother,genre,rock music,What genre is Mother?,"['rock music', 'rock and roll', 'rock', 'Rock']"
Ah Ying,director,Allen Fong,Who was the director of Ah Ying?,"['Allen Fong', 'Allen Fong Yuk-ping']"
Born to Rock,author,Gordon Korman,Who is the author of Born to Rock?,['Gordon Korman']
Take a Chance,director,Sinclair Hill,Who was the director of Take a Chance?,['Sinclair Hill']
La renzoni,director,Maurits Binger,Who was the director of La renzoni?,"['Maurits Binger', 'Maurits H. Binger']"
P. Palaniappan,occupation,politician,What is P. Palaniappan's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
William Jack,place of birth,Aberdeen,In what city was William Jack born?,"['Aberdeen', 'Aiberdeen', 'Granite City', 'The Silver City']"
Alexander,father,Lysimachus,Who is the father of Alexander?,['Lysimachus']
Let Me Know,composer,Towa Tei,Who was the composer of Let Me Know?,['Towa Tei']
Jukka Tammi,sport,ice hockey,What sport does Jukka Tammi play?,['ice hockey']
Caveat,father,Cannonade,Who is the father of Caveat?,['Cannonade']
Maurice Le Boucher,occupation,composer,What is Maurice Le Boucher's occupation?,"['composer', 'organist', 'organ player']"
First Love,screenwriter,Maximilian Schell,Who was the screenwriter for First Love?,['Maximilian Schell']
Karahasanlı,country,Turkey,In what country is Karahasanlı?,"['Turkey', 'Republic of Turkey', '🇹🇷', 'TUR', 'TR']"
Ecco fatto,screenwriter,Gabriele Muccino,Who was the screenwriter for Ecco fatto?,['Gabriele Muccino']
No Future,author,Paul Cornell,Who is the author of No Future?,"['Paul Cornell', 'Paul Douglas Cornell']"
All Over,author,Edward Albee,Who is the author of All Over?,"['Edward Albee', 'Edward Franklin Albee III', 'Edward Albee']"
John Mant,place of birth,Darling Point,In what city was John Mant born?,"['Darling Point', 'Darling Point, New South Wales', 'Darling Point, New South Wales, Australia']"
Music in the Air,genre,musical film,What genre is Music in the Air?,"['musical film', 'musical movie', 'romantic comedy', 'romedy', 'romcom']"
The Candidate,genre,documentary film,What genre is The Candidate?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']"
No Good Deed,director,Lawrence Trilling,Who was the director of No Good Deed?,['Lawrence Trilling']
Fantasy,genre,rock music,What genre is Fantasy?,"['rock music', 'rock and roll', 'rock', 'Rock']"
Givron,country,France,In what country is Givron?,"['France', 'fr', 'FR', 'République française', 'La France', 'Republic of France', 'French Republic', 'FRA', 'the Hexagon']"
The Sale,producer,Hossein Shahabi,Who was the producer of The Sale?,['Hossein Shahabi']
Saint,author,Lino Rulli,Who is the author of Saint?,['Lino Rulli']
Christmas Tree,composer,Lady Gaga,Who was the composer of Christmas Tree?,"['Lady Gaga', 'Stefani Joanne Angelina Germanotta', 'Jo Calderone', 'Stefani Germanotta']"
Sketches New and Old,author,Mark Twain,Who is the author of Sketches New and Old?,"['Mark Twain', 'Samuel Langhorne Clemens', 'Samuel L. Clemens', 'Samuel Clemens']"
Monster,director,Perry Lang,Who was the director of Monster?,['Perry Lang']
Careful,director,Guy Maddin,Who was the director of Careful?,['Guy Maddin']
New Year,producer,Wan Laiming,Who was the producer of New Year?,"['Wan Laiming', 'Man Lai-Ming']"
Gerd Arntz,place of birth,Remscheid,In what city was Gerd Arntz born?,"['Remscheid', 'Kreisfreie Stadt Remscheid']"
The Reader,director,Michel Deville,Who was the director of The Reader?,['Michel Deville']
Line,author,Israel Horovitz,Who is the author of Line?,['Israel Horovitz']
About Face,producer,Hal Roach,Who was the producer of About Face?,['Hal Roach']
Aspis,author,Menander,Who is the author of Aspis?,"['Menander', 'Menander of Athens']"
Hot Cop,genre,disco,What genre is Hot Cop?,"['disco', 'disco music']"
Taia River,country,Romania,In what country is Taia River?,"['Romania', 'Roumania', 'Rumania', 'România', 'ro', '🇷🇴']"
La Silvia,composer,Antonio Vivaldi,Who was the composer of La Silvia?,"['Antonio Vivaldi', 'Prete rosso', 'Antonio Vivarudi', 'Antonio Luciano Vivaldi', 'Vivaldi', 'Antonio Lucio Vivaldi', 'A. Vivaldis']"
Around the World,producer,Allan Dwan,Who was the producer of Around the World?,['Allan Dwan']
"Sir Thomas Clarges, 3rd Baronet",occupation,politician,"What is Sir Thomas Clarges, 3rd Baronet's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Old Money,author,Wendy Wasserstein,Who is the author of Old Money?,['Wendy Wasserstein']
Adil Shamoo,occupation,biochemist,What is Adil Shamoo's occupation?,"['biochemist', 'biological chemist']"
Gandhinagara,composer,Chellapilla Satyam,Who was the composer of Gandhinagara?,"['Chellapilla Satyam', 'Chellapilla Satyanarayana Sastry']"
The Second Coming,screenwriter,Tim Kring,Who was the screenwriter for The Second Coming?,"['Tim Kring', 'Richard Timothy ""Tim"" Kring', 'Richard Timothy Kring']"
Dominick Bellizzi,occupation,jockey,What is Dominick Bellizzi's occupation?,['jockey']
VOKO-Irodion,sport,volleyball,What sport does VOKO-Irodion play?,['volleyball']
The Holes,director,Pierre Tchernia,Who was the director of The Holes?,"['Pierre Tchernia', 'Pierre Tcherniakowsky', 'Tchernia', 'Pierre Tcherniakowski']"
Caleb West,author,Francis Hopkinson Smith,Who is the author of Caleb West?,"['Francis Hopkinson Smith', 'F. Hopkinson Smith']"
Democracy,screenwriter,Cheryl Heuton,Who was the screenwriter for Democracy?,"['Cheryl Heuton', 'Nicolas Falacci']"
Aagraham,director,Rajasenan,Who was the director of Aagraham?,['Rajasenan']
Chicche District,country,Peru,In what country is Chicche District?,"['Peru', 'pe', 'Republic of Peru', 'República del Perú', '🇵🇪', 'Republica del Peru']"
Lys,capital,Bruges,What is the capital of Lys?,"['Bruges', 'Brugge']"
The Box,screenwriter,Graham Roland,Who was the screenwriter for The Box?,"['Graham Roland', 'Josh Singer']"
The One Million Pound Note,screenwriter,Mark Twain,Who was the screenwriter for The One Million Pound Note?,"['Mark Twain', 'Samuel Langhorne Clemens', 'Samuel L. Clemens', 'Samuel Clemens']"
Augustine Steward,occupation,politician,What is Augustine Steward's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
The Answer,director,Walter West,Who was the director of The Answer?,"['Walter West', 'Walter Alabaster West']"
The Joykiller,genre,punk rock,What genre is The Joykiller?,"['punk rock', 'punk', 'punk music']"
Trust Me,author,John Updike,Who is the author of Trust Me?,"['John Updike', 'John Hoyer Updike']"
Confession,director,Ken Hughes,Who was the director of Confession?,"['Ken Hughes', 'Kenneth Graham Hughes']"
"William de Mandeville, 3rd Earl of Essex",father,"Geoffrey de Mandeville, 1st Earl of Essex","Who is the father of William de Mandeville, 3rd Earl of Essex?","['Geoffrey de Mandeville, 1st Earl of Essex']"
Gregor Zabret,sport,association football,What sport does Gregor Zabret play?,"['association football', 'football', 'soccer']"
Bakkushan,genre,indie rock,What genre is Bakkushan?,"['indie rock', 'Independent rock', 'Indie Rock']"
Healers of the Dead Sea,producer,John M. Allegro,Who was the producer of Healers of the Dead Sea?,"['John M. Allegro', 'John Marco Allegro']"
Marcellus Stearns,place of birth,Lovell,In what city was Marcellus Stearns born?,"['Lovell', 'Lovell, Maine']"
Densen Uta,producer,Masato Harada,Who was the producer of Densen Uta?,['Masato Harada']
Zijah Sokolović,place of birth,Sarajevo,In what city was Zijah Sokolović born?,"['Sarajevo', 'City of Sarajevo']"
Michael Hutchings,occupation,chef,What is Michael Hutchings's occupation?,"['chef', 'chef de cuisine']"
Murong Wei,father,Murong Jun,Who is the father of Murong Wei?,"['Murong Jun', 'Emperor Jingzhao of Yan', 'Xuanying', 'Lie Zu', 'Jingzhao Di']"
Safe,director,Michael Zinberg,Who was the director of Safe?,"['Michael Zinberg', 'Mike Zinberg', 'Michael Allan Zinberg']"
Al-Fajr Arabsalim,country,Lebanon,In what country is Al-Fajr Arabsalim?,"['Lebanon', '🇱🇧', 'LBN', 'Lebanese Republic', 'lb', 'Republic of Lebanon']"
Wolf,screenwriter,Kaneto Shindō,Who was the screenwriter for Wolf?,"['Kaneto Shindō', 'Kaneto Shindo', 'Shindō Kaneto', 'Shindo Kaneto', 'Kaneto Shindou']"
A Family,screenwriter,Pernille Fischer Christensen,Who was the screenwriter for A Family?,['Pernille Fischer Christensen']
Gérard Fromanger,place of birth,Jouars-Pontchartrain,In what city was Gérard Fromanger born?,['Jouars-Pontchartrain']
Gasoline,genre,crime film,What genre is Gasoline?,"['crime film', 'crime movie']"
Memoir,author,John McGahern,Who is the author of Memoir?,"['John McGahern', 'Sean']"
Tempo and Mode in Evolution,author,George Gaylord Simpson,Who is the author of Tempo and Mode in Evolution?,"['George Gaylord Simpson', 'Simpson']"
Hustle,director,Peter Bogdanovich,Who was the director of Hustle?,['Peter Bogdanovich']
"Washington, D.C.",author,Gore Vidal,"Who is the author of Washington, D.C.?","['Gore Vidal', 'Eugene Luther Gore Vidal', 'Gor Vidal', 'Cameron Kay', 'Eugene Luther Vidal', 'Edgar Box', 'Katherine Everard', 'Eugene Vidal']"
A Planet for the President,author,Alistair Beaton,Who is the author of A Planet for the President?,['Alistair Beaton']
Hate Man,occupation,philosopher,What is Hate Man's occupation?,['philosopher']
Not a Pretty Picture,producer,Martha Coolidge,Who was the producer of Not a Pretty Picture?,['Martha Coolidge']
Crew,genre,funk rock,What genre is Crew?,['funk rock']
Friends,director,Lev Arnshtam,Who was the director of Friends?,"['Lev Arnshtam', 'Lev Oskarovich Arnshtam']"
The Fool,director,Christine Edzard,Who was the director of The Fool?,['Christine Edzard']
Student,screenwriter,Darezhan Omirbaev,Who was the screenwriter for Student?,['Darezhan Omirbaev']
Francisco María Oreamuno Bonilla,place of birth,Cartago,In what city was Francisco María Oreamuno Bonilla born?,"['Cartago', 'Cartago, Costa Rica']"
Kenneth Kennedy,religion,Anglicanism,What is the religion of Kenneth Kennedy?,"['Anglicanism', 'Anglicanism, Anglican Church']"
The Calm,screenwriter,Jerzy Stuhr,Who was the screenwriter for The Calm?,"['Jerzy Stuhr', 'Jerzy Oskar Stuhr']"
Hell on Wheels,director,David Von Ancken,Who was the director of Hell on Wheels?,['David Von Ancken']
Panic,director,Harry Piel,Who was the director of Panic?,"['Harry Piel', 'Heinrich Piel']"
Magic Music,genre,J-pop,What genre is Magic Music?,"['J-pop', 'Japanese pop', 'jpop']"
Vogue,genre,J-pop,What genre is Vogue?,"['J-pop', 'Japanese pop', 'jpop']"
Weekend War,director,Steven Hilliard Stern,Who was the director of Weekend War?,['Steven Hilliard Stern']
In the City,director,Cesc Gay,Who was the director of In the City?,"['Cesc Gay', 'Francesc Gay i Puig', 'Francesc Gay Puig']"
E. David Redwine,occupation,politician,What is E. David Redwine's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
"Simon, Simon",screenwriter,Graham Stark,"Who was the screenwriter for Simon, Simon?","['Graham Stark', 'Graham William Stark']"
W,producer,Mel Ferrer,Who was the producer of W?,"['Mel Ferrer', 'Melchor Gastón Ferrer', 'Melchor Gaston Ferrer']"
Terry,screenwriter,Dennis Foon,Who was the screenwriter for Terry?,['Dennis Foon']
Love Story,composer,Howard Goodall,Who was the composer of Love Story?,"['Howard Goodall', 'Howard Lindsay Goodall']"
The Only Woman,director,Sidney Olcott,Who was the director of The Only Woman?,['Sidney Olcott']
Ernő Noskó,sport,association football,What sport does Ernő Noskó play?,"['association football', 'football', 'soccer']"
The Boss,producer,William A. Brady,Who was the producer of The Boss?,"['William A. Brady', 'W. A. Brady', 'William Aloysius Brady']"
To Spring,director,William Hanna,Who was the director of To Spring?,"['William Hanna', 'William Denby Hanna', 'William Denby ""Bill"" Hanna', 'Bill Hanna']"
Carlos María Ramírez,occupation,politician,What is Carlos María Ramírez's occupation?,"['journalist', 'journo', 'journalists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Safe,screenwriter,Jason Cahill,Who was the screenwriter for Safe?,['Jason Cahill']
Mohammed Amine Kabli,sport,association football,What sport does Mohammed Amine Kabli play?,"['association football', 'football', 'soccer']"
Vera Dua,place of birth,Ghent,In what city was Vera Dua born?,"['Ghent', 'Gent', 'Gand']"
L'Homme du large,director,Marcel L'Herbier,Who was the director of L'Homme du large?,"[""Marcel L'Herbier"", ""Marcel L' Herbier""]"
Soldier,composer,Neil Young,Who was the composer of Soldier?,"['Neil Young', 'Neil Percival Young', 'Shakey', 'Godfather of Grunge', 'Neil Percival Kenneth Robert Ragland Young']"
Pilot,director,David Slade,Who was the director of Pilot?,"['David Slade', 'David Aldrin Slade']"
Trevor Mwamba,religion,Anglicanism,What is the religion of Trevor Mwamba?,"['Anglicanism', 'Anglicanism, Anglican Church']"
Brilliant,country,United States of America,In what country is Brilliant?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Bomb,screenwriter,Lise Mayer,Who was the screenwriter for Bomb?,"['Ben Elton', 'Benjamin Charles Elton', 'Rik Mayall', 'Richard Michael Mayall', 'Lise Mayer']"
Flesh,producer,John Ford,Who was the producer of Flesh?,"['John Ford', 'Jack Ford', 'John Martin Feeney']"
Bala,director,Satyajit Ray,Who was the director of Bala?,"['Satyajit Ray', 'Manik Da']"
Invisible,author,Pete Hautman,Who is the author of Invisible?,"['Pete Hautman', 'Peter Murray Hautman']"
Diana Estrada,place of birth,Mexico City,In what city was Diana Estrada born?,"['Mexico City', 'Mexico D.F.', 'Ciudad de México', 'City of Mexico', 'Mexico City, Mexico', 'CDMX', 'Mexico']"
Joachim Olsen,place of birth,Aalborg,In what city was Joachim Olsen born?,"['Aalborg', 'Ålborg']"
Asli and Kerem,composer,Uzeyir Hajibeyov,Who was the composer of Asli and Kerem?,"['Uzeyir Hajibeyov', 'Uzeir Gadzhibekov', 'Uzeyir bey Abdul Huseyn oglu Hajibeyli']"
Mai Van Hoa,sport,table tennis,What sport does Mai Van Hoa play?,"['table tennis', 'ping pong', 'wiff waff', 'ping-pong']"
Os,screenwriter,Josh Singer,Who was the screenwriter for Os?,"['Graham Roland', 'Josh Singer']"
Outside the Law,screenwriter,Tod Browning,Who was the screenwriter for Outside the Law?,"['Tod Browning', 'Charles Albert Browning']"
Little Man,director,Nicole Conn,Who was the director of Little Man?,['Nicole Conn']
Bernard Yago,religion,Catholic Church,What is the religion of Bernard Yago?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Love Letter,director,Tatsumi Kumashiro,Who was the director of Love Letter?,['Tatsumi Kumashiro']
